Driver,LapTime,LapNumber,Compound,TyreLife,Team,Track,Rainfall,TrackTemp,LapTime_sec,LapTime_norm
ANT,89.794,30.0,INTERMEDIATE,30.0,Mercedes,Melbourne,0,19.1,89.794,-0.7481302028014832
ANT,89.245,31.0,INTERMEDIATE,31.0,Mercedes,Melbourne,0,19.1,89.245,-0.9401187932590299
ANT,89.032,32.0,INTERMEDIATE,32.0,Mercedes,Melbourne,0,19.1,89.032,-1.0146061698846394
ANT,87.505,42.0,HARD,9.0,Mercedes,Melbourne,0,19.3,87.505,-1.5486072220315938
ANT,84.901,43.0,HARD,10.0,Mercedes,Melbourne,0,19.3,84.901,-2.4592416292291497
ANT,90.78,46.0,INTERMEDIATE,2.0,Mercedes,Melbourne,1,19.3,90.78,-0.40332009316369744
ANT,95.008,52.0,INTERMEDIATE,8.0,Mercedes,Melbourne,0,18.7,95.008,1.0752368475549134
ANT,91.398,53.0,INTERMEDIATE,9.0,Mercedes,Melbourne,0,18.7,91.398,-0.18720178915137592
ANT,90.562,54.0,INTERMEDIATE,10.0,Mercedes,Melbourne,0,18.7,90.562,-0.4795559997570425
ANT,90.602,55.0,INTERMEDIATE,11.0,Mercedes,Melbourne,0,18.7,90.602,-0.46556776001514233
ANT,88.149,56.0,INTERMEDIATE,12.0,Mercedes,Melbourne,0,18.7,88.149,-1.323396562187035
ANT,88.65,57.0,INTERMEDIATE,13.0,Mercedes,Melbourne,0,18.7,88.65,-1.1481938594197614
ALO,98.354,8.0,INTERMEDIATE,8.0,Aston Martin,Melbourne,0,19.1,98.354,2.245353101964678
ALO,96.267,9.0,INTERMEDIATE,9.0,Aston Martin,Melbourne,0,19.1,96.267,1.5155166934311515
ALO,95.569,10.0,INTERMEDIATE,10.0,Aston Martin,Melbourne,0,19.1,95.569,1.2714219099350348
ALO,95.3,11.0,INTERMEDIATE,11.0,Aston Martin,Melbourne,0,19.1,95.3,1.1773509976707692
ALO,94.076,12.0,INTERMEDIATE,12.0,Aston Martin,Melbourne,0,19.3,94.076,0.7493108615686906
ALO,93.515,13.0,INTERMEDIATE,13.0,Aston Martin,Melbourne,0,19.3,93.515,0.5531257991885744
ALO,92.664,14.0,INTERMEDIATE,14.0,Aston Martin,Melbourne,1,19.3,92.664,0.25552599867969594
ALO,92.324,15.0,INTERMEDIATE,15.0,Aston Martin,Melbourne,0,19.3,92.324,0.13662596087356224
ALO,92.521,16.0,INTERMEDIATE,16.0,Aston Martin,Melbourne,1,19.3,92.521,0.20551804160241058
ALO,92.966,17.0,INTERMEDIATE,17.0,Aston Martin,Melbourne,1,19.4,92.966,0.36113720873102284
ALO,92.698,18.0,INTERMEDIATE,18.0,Aston Martin,Melbourne,1,19.4,92.698,0.26741600246030633
